TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2021,UHF34,407,3,Southwest Queens,"70,000","34.9 (26.5, 44.4)"
2021,UHF34,408,3,Jamaica,"60,000","29.1 (21.1, 38.6)"
2021,UHF34,409,3,Southeast Queens,"54,000*","35.5* (24.8, 47.8)"
2021,UHF34,410,3,Rockaways,"31,000*","38.9* (28.0, 51.1)"
2021,UHF34,305307,3,Upper East Side-Gramercy,"28,000","9.8 (6.1, 15.5)"
2021,UHF34,306308,3,Chelsea-Village  ,"32,000","16.2 (10.9, 23.4)"
2021,UHF34,309310,3,Union Square-Lower Manhattan,"25,000","13.6 (8.1, 21.9)"
2021,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"14,000","11.2 (7.2, 17.0)"
2021,UHF34,501502,3,Northern SI,"43,000*","33.5* (24.2, 44.4)"
2021,UHF34,503504,3,Southern SI,"59,000","29.2 (22.2, 37.3)"
2021,UHF34,105106107,3,South Bronx,"143,000","39.5 (33.1, 46.4)"
2021,Borough,1,1,Bronx,"357,000","37.5 (33.6, 41.5)"
2021,Borough,2,1,Brooklyn,"517,000","29.0 (26.4, 31.8)"
2021,Borough,3,1,Manhattan,"248,000","20.1 (17.3, 23.2)"
2021,Borough,4,1,Queens,"418,000","26.2 (23.4, 29.1)"
2021,Borough,5,1,Staten Island,"102,000","30.9 (25.2, 37.3)"
2021,Citywide,1,0,New York City,"1,642,000","27.8 (26.4, 29.3)"
2020,UHF34,101,3,Kingsbridge - Riverdale,"13,000","18.5 (11.4, 28.5)"
2020,UHF34,102,3,Northeast Bronx,"43,000","30.0 (21.5, 40.2)"
2020,UHF34,103,3,Fordham - Bronx Pk,"66,000","37.0 (29.0, 45.8)"
2020,UHF34,104,3,Pelham - Throgs Neck,"61,000","28.5 (21.8, 36.3)"
2020,UHF34,201,3,Greenpoint,"15,000*","15.3* (8.0, 27.5)"
2020,UHF34,202,3,Downtown - Heights - Slope,"28,000","15.9 (10.6, 23.2)"
2020,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"70,000","29.6 (23.2, 36.9)"
2020,UHF34,204,3,East New York,"35,000","26.6 (18.7, 36.4)"
2020,UHF34,205,3,Sunset Park,"24,000","25.5 (16.9, 36.4)"
2020,UHF34,206,3,Borough Park,"49,000","21.5 (15.6, 28.8)"
2020,UHF34,207,3,East Flatbush - Flatbush,"63,000","29.2 (22.4, 37.1)"
2020,UHF34,208,3,Canarsie - Flatlands,"56,000*","39.1* (29.2, 50.1)"
2020,UHF34,209,3,Bensonhurst - Bay Ridge,"36,000","22.3 (14.8, 32.1)"
2020,UHF34,210,3,Coney Island - Sheepshead Bay,"60,000","26.6 (19.8, 34.9)"
2020,UHF34,211,3,Williamsburg - Bushwick,"38,000","25.9 (18.8, 34.5)"
2020,UHF34,301,3,Washington Heights,"58,000","29.5 (22.1, 38.3)"
2020,UHF34,302,3,Central Harlem - Morningside Heights,"36,000","30.0 (22.3, 39.0)"
2020,UHF34,303,3,East Harlem,"24,000*","30.1* (19.8, 42.8)"
2020,UHF34,304,3,Upper West Side,"32,000","17.7 (11.1, 27.1)"
2020,UHF34,401,3,Long Island City - Astoria,"31,000","19.2 (12.5, 28.3)"
2020,UHF34,402,3,West Queens,"98,000","27.0 (20.9, 34.2)"
2020,UHF34,403,3,Flushing - Clearview,"30,000","15.1 (8.5, 25.4)"
2020,UHF34,405,3,Ridgewood - Forest Hills,"39,000","20.7 (14.0, 29.6)"
2020,UHF34,407,3,Southwest Queens,"65,000","32.5 (24.7, 41.4)"
2020,UHF34,408,3,Jamaica,"44,000","20.9 (13.1, 31.8)"
2020,UHF34,409,3,Southeast Queens,"64,000*","43.4* (31.7, 55.9)"
2020,UHF34,410,3,Rockaways,"28,000*","34.6* (18.8, 54.8)"
2020,UHF34,305307,3,Upper East Side-Gramercy,"28,000","9.0 (5.7, 14.0)"
2020,UHF34,306308,3,Chelsea-Village  ,"20,000","9.7 (5.8, 15.9)"
2020,UHF34,309310,3,Union Square-Lower Manhattan,"30,000","14.4 (9.6, 21.0)"
2020,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"28,000","20.4 (13.6, 29.5)"
2020,UHF34,501502,3,Northern SI,"47,000*","32.3* (22.8, 43.4)"
2020,UHF34,503504,3,Southern SI,"73,000","33.9 (26.3, 42.5)"
2020,UHF34,105106107,3,South Bronx,"143,000","37.3 (31.9, 43.0)"
2020,Borough,1,1,Bronx,"332,000","32.9 (29.5, 36.4)"
2020,Borough,2,1,Brooklyn,"479,000","25.3 (23.0, 27.8)"
2020,Borough,3,1,Manhattan,"227,000","17.5 (15.1, 20.1)"
2020,Borough,4,1,Queens,"435,000","25.5 (22.5, 28.6)"
2020,Borough,5,1,Staten Island,"118,000","33.0 (27.0, 39.8)"
2020,Citywide,1,0,New York City,"1,592,000","25.4 (24.0, 26.8)"
2019,UHF34,101,3,Kingsbridge - Riverdale,"19,000*","26.7* (17.5, 38.6)"
2019,UHF34,102,3,Northeast Bronx,"46,000","30.9 (22.8, 40.3)"
2019,UHF34,103,3,Fordham - Bronx Pk,"58,000","33.5 (24.8, 43.4)"
2019,UHF34,104,3,Pelham - Throgs Neck,"86,000","37.5 (30.2, 45.4)"
2019,UHF34,201,3,Greenpoint,"14,000","15.0 (9.2, 23.6)"
2019,UHF34,202,3,Downtown - Heights - Slope,"25,000","14.6 (9.5, 21.7)"
2019,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"61,000","25.9 (19.9, 33.1)"
2019,UHF34,204,3,East New York,"48,000*","35.5* (25.3, 47.1)"
2019,UHF34,205,3,Sunset Park,"13,000*","14.1* (7.6, 24.9)"
2019,UHF34,206,3,Borough Park,"43,000","18.7 (13.4, 25.5)"
2019,UHF34,207,3,East Flatbush - Flatbush,"72,000","31.2 (23.9, 39.6)"
2019,UHF34,208,3,Canarsie - Flatlands,"64,000*","42.2* (31.4, 53.7)"
2019,UHF34,209,3,Bensonhurst - Bay Ridge,"30,000","18.8 (13.5, 25.6)"
2019,UHF34,210,3,Coney Island - Sheepshead Bay,"64,000","27.5 (20.5, 35.8)"
2019,UHF34,211,3,Williamsburg - Bushwick,"47,000","32.3 (23.2, 43.0)"
2019,UHF34,301,3,Washington Heights,"50,000","25.3 (17.9, 34.5)"
2019,UHF34,302,3,Central Harlem - Morningside Heights,"45,000*","36.9* (25.4, 50.1)"
2019,UHF34,303,3,East Harlem,"27,000*","34.1* (22.6, 47.8)"
2019,UHF34,304,3,Upper West Side,"31,000","17.0 (9.7, 28.1)"
2019,UHF34,401,3,Long Island City - Astoria,"32,000","18.4 (12.1, 26.9)"
2019,UHF34,402,3,West Queens,"79,000","22.2 (16.3, 29.6)"
2019,UHF34,403,3,Flushing - Clearview,"18,000*","8.9* (3.6, 20.3)"
2019,UHF34,405,3,Ridgewood - Forest Hills,"54,000","27.0 (20.2, 35.0)"
2019,UHF34,407,3,Southwest Queens,"57,000","27.7 (20.7, 36.1)"
2019,UHF34,408,3,Jamaica,"56,000","26.8 (19.2, 36.1)"
2019,UHF34,409,3,Southeast Queens,"50,000*","33.1* (23.2, 44.8)"
2019,UHF34,410,3,Rockaways,"24,000*","31.2* (19.4, 46.1)"
2019,UHF34,305307,3,Upper East Side-Gramercy,"29,000","9.3 (6.1, 13.7)"
2019,UHF34,306308,3,Chelsea-Village  ,"24,000","11.9 (6.7, 20.3)"
2019,UHF34,309310,3,Union Square-Lower Manhattan,"21,000","10.2 (6.9, 14.9)"
2019,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"27,000","19.2 (12.2, 28.8)"
2019,UHF34,501502,3,Northern SI,"37,000","25.8 (17.3, 36.5)"
2019,UHF34,503504,3,Southern SI,"68,000","32.1 (24.3, 41.1)"
