StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,OBESITY_CrudePrev,Year
NY,New York,Erie,36029,36029004300,44.7,2023
NY,New York,Monroe,36055,36055002400,44.6,2023
NY,New York,Erie,36029,36029007102,44.6,2023
NY,New York,Monroe,36055,36055000200,44.6,2023
NY,New York,Richmond,36085,36085031901,44.5,2023
NY,New York,Orleans,36073,36073040600,44.5,2023
NY,New York,Onondaga,36067,36067002300,44.4,2023
NY,New York,Rensselaer,36083,36083040200,44.3,2023
NY,New York,Oneida,36065,36065021000,44.3,2023
NY,New York,Bronx,36005,36005014701,44.3,2023
NY,New York,Lewis,36049,36049950700,44.3,2023
NY,New York,Monroe,36055,36055004800,44.2,2023
NY,New York,Erie,36029,36029017400,44.2,2023
NY,New York,Genesee,36037,36037951000,44.2,2023
NY,New York,Cattaraugus,36009,36009961700,44.2,2023
NY,New York,Oneida,36065,36065021500,44.1,2023
NY,New York,Oswego,36075,36075021102,44.0,2023
NY,New York,Genesee,36037,36037950700,44.0,2023
NY,New York,Monroe,36055,36055006300,44.0,2023
NY,New York,Erie,36029,36029001700,43.9,2023
NY,New York,Niagara,36063,36063021200,43.9,2023
NY,New York,Erie,36029,36029016300,43.9,2023
NY,New York,Niagara,36063,36063940001,43.9,2023
NY,New York,Bronx,36005,36005028400,43.9,2023
NY,New York,Monroe,36055,36055008702,43.9,2023
NY,New York,Monroe,36055,36055005700,43.9,2023
NY,New York,Schenectady,36093,36093021500,43.9,2023
NY,New York,Montgomery,36057,36057070900,43.9,2023
NY,New York,Oneida,36065,36065021101,43.8,2023
NY,New York,Onondaga,36067,36067000700,43.8,2023
NY,New York,Niagara,36063,36063023700,43.8,2023
NY,New York,Erie,36029,36029006100,43.7,2023
NY,New York,Niagara,36063,36063020400,43.7,2023
NY,New York,Albany,36001,36001001100,43.7,2023
NY,New York,Cattaraugus,36009,36009960500,43.6,2023
NY,New York,Niagara,36063,36063021300,43.6,2023
NY,New York,Monroe,36055,36055004000,43.6,2023
NY,New York,Bronx,36005,36005014300,43.6,2023
NY,New York,Onondaga,36067,36067000501,43.6,2023
NY,New York,Monroe,36055,36055006700,43.5,2023
NY,New York,Monroe,36055,36055008400,43.5,2023
NY,New York,Erie,36029,36029007000,43.5,2023
NY,New York,Lewis,36049,36049950200,43.4,2023
NY,New York,Erie,36029,36029005900,43.4,2023
NY,New York,Orange,36071,36071000501,43.4,2023
NY,New York,Lewis,36049,36049950500,43.4,2023
NY,New York,Queens,36081,36081042600,43.4,2023
NY,New York,Cayuga,36011,36011041500,43.3,2023
