StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,OBESITY_CrudePrev
NY,New York,Oneida,36065,36065025900,60.8
NY,New York,Onondaga,36067,36067004200,59.6
NY,New York,Niagara,36063,36063020200,57.6
NY,New York,Onondaga,36067,36067005400,56.8
NY,New York,Oneida,36065,36065026502,56.4
NY,New York,Erie,36029,36029001404,55.5
NY,New York,Onondaga,36067,36067005200,55.1
NY,New York,Onondaga,36067,36067003900,54.6
NY,New York,Onondaga,36067,36067005100,54.4
NY,New York,Onondaga,36067,36067003000,54.2
NY,New York,Onondaga,36067,36067005800,53.6
NY,New York,Erie,36029,36029004402,53.5
NY,New York,Onondaga,36067,36067004000,53.0
NY,New York,Onondaga,36067,36067005900,52.9
NY,New York,Schenectady,36093,36093021002,52.9
NY,New York,Niagara,36063,36063020900,52.4
NY,New York,Monroe,36055,36055006500,52.1
NY,New York,Niagara,36063,36063021300,52.1
NY,New York,Richmond,36085,36085004003,52.0
NY,New York,Erie,36029,36029001403,51.7
NY,New York,Onondaga,36067,36067003800,51.6
NY,New York,Niagara,36063,36063020600,50.8
NY,New York,Niagara,36063,36063020500,50.5
NY,New York,Bronx,36005,36005009302,50.2
NY,New York,Oneida,36065,36065021000,49.9
NY,New York,Niagara,36063,36063020400,49.7
NY,New York,Monroe,36055,36055009602,49.5
NY,New York,Suffolk,36103,36103201200,49.4
NY,New York,Dutchess,36027,36027640002,49.4
NY,New York,Monroe,36055,36055006400,49.3
NY,New York,Monroe,36055,36055009200,49.1
NY,New York,Monroe,36055,36055005100,49.1
NY,New York,Queens,36081,36081017902,49.0
NY,New York,St. Lawrence,36089,36089492800,49.0
NY,New York,Erie,36029,36029004200,49.0
NY,New York,Monroe,36055,36055005200,48.9
NY,New York,Onondaga,36067,36067002300,48.8
NY,New York,Erie,36029,36029003501,48.6
NY,New York,Monroe,36055,36055005500,48.6
NY,New York,Erie,36029,36029003800,48.5
NY,New York,Erie,36029,36029016600,48.4
NY,New York,Schenectady,36093,36093021500,48.3
NY,New York,Monroe,36055,36055009601,48.2
NY,New York,Monroe,36055,36055000700,48.1
NY,New York,Erie,36029,36029002801,48.1
NY,New York,Niagara,36063,36063020700,48.1
NY,New York,Niagara,36063,36063021100,48.0
NY,New York,Oneida,36065,36065020300,48.0
NY,New York,Niagara,36063,36063021700,47.9
NY,New York,Monroe,36055,36055008000,47.9
NY,New York,Monroe,36055,36055004900,47.9
NY,New York,Niagara,36063,36063023700,47.7
NY,New York,Richmond,36085,36085002700,47.5
NY,New York,Monroe,36055,36055008702,47.4
NY,New York,Monroe,36055,36055002400,47.4
NY,New York,Onondaga,36067,36067000600,47.4
NY,New York,Erie,36029,36029001601,47.3
NY,New York,Monroe,36055,36055007500,47.3
NY,New York,Monroe,36055,36055004100,47.2
NY,New York,Monroe,36055,36055009301,46.9
NY,New York,Erie,36029,36029002502,46.9
NY,New York,Oneida,36065,36065020900,46.9
NY,New York,Monroe,36055,36055005600,46.8
NY,New York,Monroe,36055,36055003900,46.7
NY,New York,Erie,36029,36029003901,46.7
NY,New York,Monroe,36055,36055001600,46.6
NY,New York,Onondaga,36067,36067000501,46.6
NY,New York,Erie,36029,36029003600,46.5
NY,New York,Erie,36029,36029003000,46.5
NY,New York,Schenectady,36093,36093021400,46.3
NY,New York,Onondaga,36067,36067000200,46.3
NY,New York,Monroe,36055,36055008400,46.3
NY,New York,St. Lawrence,36089,36089492700,46.2
NY,New York,Erie,36029,36029003302,46.1
NY,New York,Onondaga,36067,36067005300,46.0
NY,New York,Broome,36007,36007013500,45.9
NY,New York,Bronx,36005,36005028400,45.9
NY,New York,St. Lawrence,36089,36089490300,45.8
NY,New York,Erie,36029,36029007104,45.7
NY,New York,Erie,36029,36029003502,45.7
NY,New York,Onondaga,36067,36067003601,45.6
NY,New York,St. Lawrence,36089,36089491400,45.6
NY,New York,Erie,36029,36029001500,45.6
NY,New York,Niagara,36063,36063021200,45.6
NY,New York,Queens,36081,36081019902,45.6
NY,New York,Monroe,36055,36055009605,45.6
NY,New York,Monroe,36055,36055002300,45.5
NY,New York,Monroe,36055,36055002700,45.5
NY,New York,Erie,36029,36029007103,45.5
NY,New York,Onondaga,36067,36067002101,45.5
NY,New York,Erie,36029,36029002900,45.4
NY,New York,Monroe,36055,36055006600,45.4
