StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,OBESITY_CrudePrev
NY,New York,Dutchess,36027,36027640002,61.4
NY,New York,Oneida,36065,36065025900,61.3
NY,New York,Monroe,36055,36055006500,56.9
NY,New York,Onondaga,36067,36067004200,55.9
NY,New York,Monroe,36055,36055005100,54.7
NY,New York,Oneida,36065,36065026502,54.6
NY,New York,Monroe,36055,36055009602,54.2
NY,New York,Erie,36029,36029001404,54.1
NY,New York,Monroe,36055,36055008000,54.1
NY,New York,Monroe,36055,36055009200,54.0
NY,New York,Monroe,36055,36055002400,53.7
NY,New York,Monroe,36055,36055009301,53.4
NY,New York,Monroe,36055,36055005500,53.1
NY,New York,Monroe,36055,36055004900,52.9
NY,New York,Monroe,36055,36055003900,52.8
NY,New York,Monroe,36055,36055005200,52.5
NY,New York,Monroe,36055,36055009601,52.2
NY,New York,Monroe,36055,36055005600,52.0
NY,New York,Monroe,36055,36055006400,51.9
NY,New York,Monroe,36055,36055002700,51.5
NY,New York,Niagara,36063,36063020200,51.3
NY,New York,Monroe,36055,36055004100,51.3
NY,New York,Monroe,36055,36055008400,51.2
NY,New York,Onondaga,36067,36067003000,51.1
NY,New York,Monroe,36055,36055005000,51.1
NY,New York,Monroe,36055,36055008702,51.1
NY,New York,Onondaga,36067,36067005400,51.0
NY,New York,Monroe,36055,36055007500,51.0
NY,New York,Onondaga,36067,36067005800,51.0
NY,New York,Monroe,36055,36055002300,50.9
NY,New York,Monroe,36055,36055000700,50.9
NY,New York,Monroe,36055,36055001600,50.8
NY,New York,Onondaga,36067,36067005200,50.7
NY,New York,Oneida,36065,36065020300,50.6
NY,New York,Monroe,36055,36055005800,50.5
NY,New York,Cayuga,36011,36011042100,50.4
NY,New York,Monroe,36055,36055006600,50.4
NY,New York,Erie,36029,36029004402,50.2
NY,New York,Onondaga,36067,36067003900,50.2
NY,New York,Schenectady,36093,36093021002,50.2
NY,New York,Niagara,36063,36063020900,49.7
NY,New York,Monroe,36055,36055005700,49.7
NY,New York,Monroe,36055,36055007900,49.5
NY,New York,Erie,36029,36029001403,49.5
NY,New York,Monroe,36055,36055009605,49.4
NY,New York,Monroe,36055,36055004800,49.4
NY,New York,Monroe,36055,36055004000,49.3
NY,New York,Orange,36071,36071000400,49.2
NY,New York,Oneida,36065,36065021000,49.1
NY,New York,Monroe,36055,36055004602,49.0
NY,New York,Erie,36029,36029003901,49.0
NY,New York,Monroe,36055,36055004701,48.9
NY,New York,Monroe,36055,36055008301,48.8
NY,New York,Onondaga,36067,36067005900,48.7
NY,New York,Suffolk,36103,36103201200,48.6
NY,New York,Albany,36001,36001000800,48.6
NY,New York,Albany,36001,36001002500,48.4
NY,New York,Onondaga,36067,36067005100,48.2
NY,New York,Oneida,36065,36065020900,48.2
NY,New York,Albany,36001,36001000202,48.1
NY,New York,Monroe,36055,36055002100,48.0
NY,New York,Onondaga,36067,36067004000,48.0
NY,New York,Monroe,36055,36055005900,47.9
NY,New York,Onondaga,36067,36067003800,47.9
NY,New York,Erie,36029,36029004200,47.8
NY,New York,Bronx,36005,36005028400,47.6
NY,New York,Rensselaer,36083,36083040400,47.5
NY,New York,Oneida,36065,36065021104,47.5
NY,New York,Oneida,36065,36065021103,47.4
NY,New York,Monroe,36055,36055008100,47.4
NY,New York,Monroe,36055,36055008200,47.2
NY,New York,Monroe,36055,36055007100,47.1
NY,New York,Erie,36029,36029003501,47.1
NY,New York,Livingston,36051,36051031000,47.0
NY,New York,Erie,36029,36029016600,46.9
NY,New York,Monroe,36055,36055001900,46.8
NY,New York,Albany,36001,36001000100,46.8
NY,New York,Orange,36071,36071000600,46.7
NY,New York,Orange,36071,36071000502,46.7
NY,New York,Monroe,36055,36055009403,46.6
NY,New York,Oswego,36075,36075020304,46.6
NY,New York,Monroe,36055,36055004702,46.4
NY,New York,Oneida,36065,36065026300,46.3
NY,New York,Erie,36029,36029003800,46.3
NY,New York,Clinton,36019,36019103512,46.2
NY,New York,Bronx,36005,36005005300,46.2
NY,New York,Erie,36029,36029002502,46.2
NY,New York,Onondaga,36067,36067005300,46.1
NY,New York,Dutchess,36027,36027640001,46.1
NY,New York,Orange,36071,36071001200,46.0
NY,New York,Oneida,36065,36065020102,46.0
NY,New York,Monroe,36055,36055002200,45.8
NY,New York,Erie,36029,36029002801,45.8
NY,New York,Albany,36001,36001000301,45.8
NY,New York,Oswego,36075,36075021201,45.8
NY,New York,Richmond,36085,36085004003,45.8
NY,New York,Niagara,36063,36063021300,45.7
NY,New York,Monroe,36055,36055001300,45.6
NY,New York,Bronx,36005,36005018502,45.5
NY,New York,Bronx,36005,36005014500,45.5
NY,New York,Erie,36029,36029003502,45.5
NY,New York,Bronx,36005,36005005100,45.5
NY,New York,Oswego,36075,36075021102,45.5
NY,New York,Erie,36029,36029001602,45.4
NY,New York,Erie,36029,36029003400,45.4
NY,New York,Albany,36001,36001000700,45.4
NY,New York,Dutchess,36027,36027220300,45.4
NY,New York,Clinton,36019,36019101600,45.3
NY,New York,Orange,36071,36071000501,45.2
NY,New York,Erie,36029,36029003600,45.1
NY,New York,Clinton,36019,36019102200,45.1
NY,New York,Monroe,36055,36055006300,45.1
NY,New York,Schenectady,36093,36093021400,45.0
NY,New York,Monroe,36055,36055006700,45.0
NY,New York,Cayuga,36011,36011041300,45.0
NY,New York,Erie,36029,36029001500,45.0
NY,New York,Cayuga,36011,36011040101,44.9
NY,New York,Albany,36001,36001000201,44.9
NY,New York,Orange,36071,36071015007,44.8
NY,New York,Seneca,36099,36099950801,44.8
NY,New York,Orange,36071,36071000301,44.8
NY,New York,Oneida,36065,36065021500,44.8
NY,New York,Erie,36029,36029007104,44.8
NY,New York,Bronx,36005,36005002701,44.7
NY,New York,Onondaga,36067,36067003601,44.7
NY,New York,Richmond,36085,36085002700,44.7
NY,New York,Erie,36029,36029980300,44.6
NY,New York,Monroe,36055,36055002000,44.6
NY,New York,Dutchess,36027,36027221100,44.6
NY,New York,Oneida,36065,36065020802,44.6
NY,New York,Monroe,36055,36055006900,44.5
NY,New York,Rockland,36087,36087012403,44.5
NY,New York,Monroe,36055,36055008801,44.5
NY,New York,Erie,36029,36029003100,44.5
NY,New York,Chemung,36015,36015000300,44.5
NY,New York,Bronx,36005,36005020501,44.5
NY,New York,Rensselaer,36083,36083040500,44.4
NY,New York,Richmond,36085,36085013301,44.4
NY,New York,Orleans,36073,36073040602,44.3
NY,New York,Erie,36029,36029016801,44.3
NY,New York,Clinton,36019,36019103100,44.3
